location,date,mintemp,maxtemp,avgtemp,totalsnow,sunhour
"Chicamocha Canyon, Colombia",2016-07-04,8,22,15,0,19
"Galilee, Israel",2016-10-28,21,26,24,0,13
"Corsica, France",2016-10-29,24,31,28,0,6
"Omiš, Croatia",2016-10-23,4,15,10,0,1
"Réunion Island, France",2016-10-23,5,16,11,0,10
"Trieste, Italy",2017-01-06,-6,-1,-4,0,9
"Fuguei Cape to Eluanbi Lighthouse, Taiwan",2017-04-02,27,28,28,0,10
"Prado del Rey, Spain",2017-03-05,7,17,12,0,1
"Kuusamo, Finland",2017-05-27,-3,5,1,0,15
"Pembrokeshire Coast, Wales, United Kingdom",2017-04-30,9,12,11,0,2
"Gaspésie, Quebec, Canada",2017-07-02,15,22,19,0,7
"Montreux, Switzerland",2017-07-30,12,26,19,0,11
"Réunion Island, France",2017-10-22,8,13,11,0,8
"Palatinate Forest, Germany",2017-10-15,5,11,8,0,11
"Trieste, Italy",2019-01-06,-2,7,3,0,9
"Drakensberg Mountains, South Africa",2019-04-28,9,20,15,0,11
"Yamanashi, Japan",2019-04-28,-1,18,9,0,14
"Fuguei Cape to Eluanbi Lighthouse, Taiwan",2019-04-14,26,27,27,0,6
"Kuusamo, Finland",2019-05-25,3,7,5,0,1
"Fiambalá, Argentina",2019-05-11,14,20,17,0,8
"Wales, United Kingdom",2019-05-06,2,11,7,0,6
"Pwllheli, Wales, United Kingdom",2019-06-30,13,15,14,0,15
"Pululahua Geobotanical Reserve, Ecuador",2019-06-30,26,33,30,0,13
"Brecon Beacons, Wales, United Kingdom",2019-06-23,11,17,14,0,11
"Asenovgrad, Bulgaria",2019-08-18,12,28,20,0,14
"Pembrokeshire Coast, Wales, United Kingdom",2019-09-08,12,15,14,0,13
"Oberwald, Switzerland",2019-09-08,1,6,4,0.5,9
"Galilee, Israel",2019-10-25,19,23,21,0,13
"Réunion Island, France",2019-10-20,11,16,14,0,2
"Crimea, Ukraine",2019-10-19,24,37,31,0,12
"Trieste, Italy",2020-01-05,0,8,4,0,9
"Turku, Finland",2020-07-30,13,20,17,0,15
"Oberwald, Switzerland",2020-09-05,7,17,12,0,8
"Asenovgrad, Bulgaria",2020-08-23,21,33,27,0,14
"Laoniuwan, Inner Mongolia, China",2020-08-09,20,34,27,0,13
"Pong Yaeng, Thailand",2020-11-08,22,30,26,0,5
"Ardennes, Belgium",2021-05-30,10,20,15,0,16
"Kuusamo, Finland",2021-05-29,1,8,5,0,16
"Krynica-Zdrój, Poland",2021-05-29,7,13,10,0,7
"Jiaoxi Township, Taiwan",2021-04-25,14,22,18,0,10
"Drakensberg Mountains, South Africa",2021-04-24,4,17,11,0,11
"Corsica, France",2021-07-25,23,32,28,0,11
"Ylläs-Pallas, Finland",2021-07-11,12,16,14,0,8
"Llanberis, Wales, United Kingdom",2021-09-12,10,12,11,0,3
"Istria, Croatia",2021-09-12,16,28,22,0,12
"Asenovgrad, Bulgaria",2021-08-22,17,30,24,0,14
"Spa, Belgium",2021-08-15,15,24,20,0,14
"Réunion Island, France",2021-10-24,2,18,10,0,10
"Lake Biwa, Japan",2021-10-03,19,26,23,0,11
"Kumagawa, Japan",2022-03-06,2,6,4,0,2
"amsterdam, Netherlands",2022-04-26,5,14,10,0,14
"Yamanashi, Japan",2022-04-24,10,18,14,0,6
"Fuguei Cape to Eluanbi Lighthouse, Taiwan",2022-04-17,27,28,28,0,8
"Kuusamo, Finland",2022-05-28,3,13,8,0,1
"Ardennes, Belgium",2022-05-22,10,21,16,0,16
"İznik, Turkey",2022-05-22,14,24,19,0,15
"Guillestre, France",2022-07-10,10,24,17,0,16
"uonuma, Japan",2022-06-27,20,30,25,0,9
"Tihio, Greece",2022-09-04,17,22,20,0,2
"Asenovgrad, Bulgaria",2022-08-21,18,28,23,0,5
"Gorce Mountains, Poland",2022-08-07,11,22,17,0,15
"Ariège, France",2022-07-24,22,35,29,0,14
"Corsica, France",2022-07-24,23,31,27,0,4
"Doi Muser, Thailand",2022-09-25,22,27,25,0,10
"Serre-Ponçon, France",2022-09-18,5,22,14,0,12
"Chamonix, France",2008-08-31,12,23,18,0,14
"Chamonix, France",2009-08-30,7,21,14,0,14
"Beasain, Spain",2010-07-18,15,26,21,0,15
"Beasain, Spain",2011-07-17,15,19,17,0,8
"ostrhauderfehn, germany",2011-07-09,12,19,16,0,16
"Częstochowa, Poland",2011-07-03,16,26,21,0,7
"Chamonix, France",2011-08-28,5,19,12,0,14
"Beasain, Spain",2012-07-15,15,19,17,0,11
"Częstochowa, Poland",2012-07-08,14,28,21,0,14
"ostrhauderfehn, germany",2012-07-07,13,22,18,0,10
"Little Carpathians, Slovakia",2012-07-01,27,33,30,0,12
Czech Republic,2012-11-25,3,8,6,0,9
"Loja, Spain",2012-10-21,10,18,14,0,11
"ostrhauderfehn, germany",2013-07-13,12,19,16,0,16
"Częstochowa, Poland",2013-07-07,19,29,24,0,13
"Bromo Tengger Semeru National Park, Indonesia",2013-11-23,6,12,9,0,14
"Loja, Spain",2013-10-20,15,24,20,0,11
"Réunion Island, France",2013-10-20,12,20,16,0,8
"Galilee, Israel",2013-10-11,18,24,21,0,12
"St. Lambrecht, Austria",2014-05-11,1,12,7,0.9,10
"Istria, Croatia",2014-04-13,5,13,9,0,9
"ostrhauderfehn, germany",2014-07-12,13,23,18,0,15
"Chicamocha Canyon, Colombia",2014-06-02,2,9,6,0,15
"Occitanie, France",2014-06-01,17,25,21,0,13
"Bamburgh, England, United Kingdom",2014-09-21,9,14,12,0,13
"Galilee, Israel",2014-10-24,20,24,22,0,13
"Loja, Spain",2014-10-19,16,27,22,0,11
"Chicamocha Canyon, Colombia",2015-06-08,3,15,9,0,15
"St. Lambrecht, Austria",2015-05-17,6,16,11,0,14
"ostrhauderfehn, germany",2015-09-27,10,16,13,0,12
"Corsica, France",2015-11-01,24,29,27,0,4
"Galilee, Israel",2015-10-24,21,26,24,0,5
"Réunion Island, France",2015-10-25,10,16,13,0,8
"Argelès-sur-Mer, France",2015-10-11,8,15,12,0,11
